1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,2.2,-0.8
1.1,2.4,-0.8
1.1,2.5,-0.8
1.1,2.9,-0.8
1.1,3.0,-0.8
1.1,3.2,-0.8
1.1,3.3,-0.8
1.1,3.6,-0.8
1.1,3.7,-0.8
1.1,3.8,-0.8
1.1,3.9,-0.8
1.1,4.0,-0.8
1.1,4.1,-0.8
1.1,4.1,-0.8
1.1,4.2,-0.8
1.1,4.3,-0.8
1.1,4.3,-0.8
1.1,4.4,-0.8
1.1,4.4,-0.8
1.1,4.4,-0.8
1.1,4.4,-0.8
1.1,4.4,-0.8
1.1,4.4,-0.8
1.1,4.4,-0.8
1.1,4.4,-0.8
1.1,4.3,-0.8
1.1,4.3,-0.8
1.1,4.2,-0.8
1.1,4.1,-0.8
1.1,4.0,-0.8
1.1,4.0,-0.8
1.1,3.9,-0.8
1.1,3.8,-0.8
1.1,3.7,-0.8
1.1,3.4,-0.8
1.1,3.3,-0.8
1.1,3.2,-0.8
1.1,3.0,-0.8
1.1,2.9,-0.8
1.1,2.7,-0.8
1.1,2.4,-0.8
1.1,2.2,-0.8
1.1,2.0,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.7,-0.8
1.1,1.7,-0.8
1.1,1.7,-0.8
1.1,1.7,-0.8
1.1,1.7,-0.8
1.1,1.7,-0.8
1.1,1.7,-0.8
1.1,1.7,-0.8
1.1,1.7,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.8
1.1,1.8,-0.6
1.1,1.9,-0.3
1.1,1.9,-0.1
1.0,1.8,0.2
1.0,1.8,0.4
0.9,1.7,0.6
0.8,1.7,0.9
0.8,1.7,1.1
0.8,1.8,1.1
0.8,1.8,1.1
0.8,1.8,1.1
0.8,1.8,1.1
0.8,1.8,1.1
0.8,1.8,1.1
0.8,1.8,1.1
0.8,1.8,1.1
0.8,1.8,1.1
0.8,1.8,1.1
0.8,1.8,1.1
0.8,1.8,1.1
0.8,1.8,1.1
0.7,1.7,1.3
0.7,1.8,1.4
0.6,1.8,1.7
0.5,2.0,1.9
0.5,2.0,2.1
0.4,1.9,2.4
0.3,1.9,2.6
0.3,1.8,2.8
0.3,1.7,3.1
0.3,1.7,3.3
0.2,1.7,3.5
0.2,1.8,3.8
0.2,1.8,4.0
0.1,1.8,4.2
0.1,1.9,4.4
0.1,2.0,4.6
0.1,2.0,4.8
0.0,2.0,4.8
0.0,2.0,4.8
0.0,2.0,4.8
0.0,2.0,4.8
0.0,2.0,4.9
-0.1,2.2,5.1
-0.1,2.2,5.1
-0.1,2.1,5.1
-0.1,2.1,5.1
-0.1,2.1,5.1
-0.1,2.1,5.1
-0.1,2.1,5.1
-0.1,2.1,5.1
0.0,2.1,5.1
0.0,2.2,5.1
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.3,5.2
0.1,2.3,5.3
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.2,5.2
0.0,2.1,5.2
0.0,2.1,5.2
0.1,2.1,5.3
0.1,2.1,5.3
0.1,2.1,5.3
0.1,2.1,5.3
0.1,2.1,5.3
0.1,2.1,5.3
0.1,2.1,5.3
0.1,2.2,5.3
0.1,2.2,5.3
0.1,2.2,5.3
0.1,2.2,5.3
0.1,2.2,5.3
0.1,2.3,5.3
0.1,2.3,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.2,2.2,5.4
0.3,2.2,5.4
0.3,2.2,5.4
0.3,2.1,5.5
0.3,2.1,5.5
0.3,2.1,5.4
0.3,2.1,5.4
0.2,2.1,5.4
0.2,2.1,5.4
0.1,2.1,5.4
0.1,2.1,5.3
0.1,2.2,5.3
0.1,2.2,5.3
0.0,2.2,5.3
0.0,2.2,5.2
-0.2,2.3,5.0
-0.3,2.3,4.8
-0.2,1.9,4.3
0.4,1.8,4.7
0.2,1.8,4.5
0.1,1.8,4.5
0.0,2.0,4.7
0.0,2.1,4.9
0.1,2.2,5.0
0.2,2.2,5.2
0.3,2.1,5.3
0.9,2.2,5.8
1.0,2.5,6.4
1.1,2.6,6.6
1.1,2.6,6.7
1.1,2.7,6.8
1.0,2.8,6.9
0.9,2.8,7.0
0.9,2.9,7.0
0.6,3.1,7.0
0.5,3.1,6.8
0.5,3.1,6.8
0.4,3.1,6.6
0.3,3.1,6.5
0.3,3.2,6.5
0.2,3.2,6.3
0.0,3.1,6.1
-0.1,3.1,6.0
-0.2,3.2,5.9
-0.3,3.2,5.8
-0.5,3.2,5.7
-0.5,3.2,5.6
-0.6,3.1,5.5
-0.6,3.1,5.5
-0.6,3.1,5.4
-0.7,3.1,5.3
-0.8,3.0,5.3
-0.9,3.0,5.1
-1.1,3.0,4.9
-1.2,3.1,4.8
-1.3,3.1,4.7
-1.5,3.1,4.5
-1.6,3.2,4.4
-1.7,3.2,4.2
-1.8,3.2,4.0
-1.8,3.1,3.8
-1.9,3.1,3.7
-2.1,3.1,3.4
-2.2,2.9,3.2
-2.2,2.8,3.2
-2.1,2.5,3.0
-1.2,2.0,3.1
-0.9,1.8,3.1
-0.8,1.8,3.1
-0.7,1.7,3.0
-0.6,1.7,2.9
-0.5,1.7,2.8
-0.4,1.8,2.7
-0.3,1.8,2.6
-0.3,1.8,2.6
-0.1,1.8,2.4
-0.1,1.8,2.3
0.0,1.8,2.2
0.0,1.9,2.2
0.1,1.9,2.1
0.1,1.9,2.0
0.2,1.9,1.9
0.3,1.9,1.8
0.4,1.8,1.7
0.5,1.8,1.6
0.5,1.8,1.5
0.6,1.8,1.4
0.6,1.8,1.4
0.7,1.8,1.3
0.8,1.7,1.1
0.9,1.7,1.0
1.1,1.7,0.8
1.1,1.7,0.8
1.3,1.7,0.6
1.6,1.8,0.4
1.9,1.9,0.0
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.3,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.2
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
2.2,1.8,-0.1
